Date,DDR5_16G,DDR4_16G,DDR4_8G,DDR3_4G_512M
2025-12-26,27.833,61.846,23.137,5.754
2025-12-29,28.226,62.385,23.258,5.786
2025-12-30,28.581,63.564,23.746,5.807
2025-12-31,29.131,64.488,24.183,5.829
2026-01-02,29.803,65.561,24.496,5.836
2026-01-05,30.544,66.488,24.983,5.857
2026-01-06,31.074,67.415,25.086,5.9
2026-01-07,31.475,68.683,25.407,5.929
2026-01-08,31.656,70.0,26.214,5.929
2026-01-09,31.781,71.0,26.821,5.929
2026-01-12,32.5,71.5,27.214,5.929
2026-01-13,33.406,73.5,27.857,5.943
2026-01-14,34.075,74.5,28.357,5.943
2026-01-15,34.5,75.545,28.5,5.943
2026-01-16,35.0,76.909,28.885,5.943
2026-01-19,35.333,77.864,29.5,5.943
2026-01-20,36.333,78.364,30.077,5.943
2026-01-21,36.667,78.364,30.3,5.986
2026-01-22,36.667,78.636,30.3,6.029
2026-01-23,36.667,78.75,30.7,6.029
2026-01-26,36.667,78.805,30.9,6.029
2026-01-27,36.6,78.75,30.9,6.029
2026-01-28,36.6,78.205,30.86,6.189
2026-01-29,36.533,77.932,30.86,6.314
2026-01-30,37.167,77.705,30.76,6.464
2026-02-02,38.167,77.591,30.9,6.571
2026-02-03,38.0,77.205,30.88,6.636
2026-02-04,37.967,77.084,30.86,6.636
2026-02-05,37.933,76.949,30.84,6.655
2026-02-06,38.0,76.966,31.0,6.655
2026-02-09,37.833,76.848,30.9,6.655
2026-02-10,38.0,76.966,31.1,6.655
2026-02-11,38.033,77.236,31.34,6.655
2026-02-12,38.033,77.775,31.34,6.655
2026-02-13,38.067,78.409,31.4,6.655
2026-02-23,38.1,78.409,31.5,6.655
2026-02-24,38.167,78.636,31.9,6.711
2026-02-25,38.667,79.136,32.34,6.786
2026-02-26,39.333,79.364,32.8,6.897
2026-02-27,39.5,79.909,32.9,6.897
2026-03-02,39.333,78.091,33.02,6.914
2026-03-03,39.167,77.355,33.02,6.911
2026-03-04,39.2,77.159,32.98,6.911
2026-03-05,39.5,77.409,33.12,6.914
2026-03-06,39.667,77.436,33.32,6.914
2026-03-09,39.683,77.273,33.3,6.917
2026-03-10,39.683,77.091,33.28,6.906
2026-03-11,39.567,77.318,33.4,6.906
2026-03-12,39.167,77.318,33.6,6.906
2026-03-13,39.333,77.25,33.6,6.899
2026-03-16,39.5,77.227,33.58,6.894
2026-03-17,39.667,77.364,33.88,6.894
2026-03-18,39.833,77.5,34.1,6.888
2026-03-19,39.833,77.5,34.1,6.888
2026-03-20,39.167,77.5,34.1,6.877
2026-03-23,38.667,76.614,34.0,6.873
2026-03-24,38.167,76.068,34.0,6.873
2026-03-25,38.167,75.727,34.0,6.863
2026-03-26,37.82,75.364,34.0,6.852
2026-03-27,37.458,74.682,34.0,6.852
2026-03-30,37.458,74.341,34.0,6.852
2026-03-31,37.426,74.227,33.96,6.834
2026-04-01,37.067,74.0,33.96,6.797
2026-04-02,37.0,73.318,33.66,6.766
2026-04-03,37.0,73.091,33.6,6.73
2026-04-06,37.0,73.091,33.6,6.73
2026-04-07,37.0,73.036,33.56,6.72
2026-04-08,37.0,72.545,33.56,6.68
2026-04-09,37.027,72.0,33.5,6.65
2026-04-10,37.033,71.5,33.4,6.63
2026-04-13,37.1,71.182,33.4,6.61
2026-04-14,37.2,70.727,33.4,6.57
2026-04-15,37.433,70.5,33.2,6.53
2026-04-16,37.7,69.455,33.1,6.49
2026-04-17,38.5,69.182,33.0,6.43
2026-04-20,38.667,68.545,33.0,6.39
2026-04-21,38.833,68.0,33.0,6.33
2026-04-22,38.833,66.227,32.8,6.18
2026-04-23,38.667,64.727,32.6,6.12
2026-04-24,38.5,63.909,32.5,6.05
2026-04-27,38.433,63.174,32.5,6.0
2026-04-28,38.5,62.391,32.5,5.94
2026-04-29,38.867,61.783,32.48,5.9
2026-05-01,39.001,61.155,32.481,5.82
2026-05-04,38.833,60.543,32.4,5.76
2026-05-05,38.833,60.087,32.4,5.7
2026-05-06,39.0,59.114,32.0,5.58
2026-05-07,39.0,58.568,32.0,5.48
2026-05-08,39.833,58.455,32.1,5.368
2026-05-11,40.2,58.476,32.3,5.271
2026-05-12,40.267,58.476,32.3,5.157
2026-05-13,40.367,58.476,32.2,5.093
2026-05-14,40.7,58.238,32.0,5.05
2026-05-15,41.167,58.238,32.0,5.007
2026-05-18,41.267,58.357,32.0,4.95
2026-05-19,41.1,58.905,32.0,4.907
2026-05-20,41.167,59.429,32.4,4.864
2026-05-21,41.333,60.143,32.9,4.864
2026-05-22,41.5,60.857,33.3,4.864
2026-05-25,41.5,61.333,33.5,4.864
2026-05-26,41.667,61.143,33.6,4.854
2026-05-27,41.667,61.333,33.6,4.854
2026-05-28,41.833,61.595,33.8,4.854
2026-06-01,42.267,62.625,34.5,4.882
2026-06-02,42.567,63.0,34.8,4.882
2026-06-03,42.833,63.5,35.12,4.871
2026-06-04,43.233,63.75,35.42,4.825
2026-06-05,43.4,64.125,35.5,4.793
2026-06-08,43.567,64.375,35.7,4.75
2026-06-09,44.0,64.875,35.9,4.729
2026-06-10,44.5,65.55,35.9,4.707
2026-06-11,44.667,66.25,36.1,4.664
2026-06-12,44.833,67.0,35.9,4.643
2026-06-15,45.0,67.5,35.8,4.6
2026-06-16,45.233,68.125,35.8,4.519
2026-06-17,45.4,68.5,35.8,4.476
2026-06-18,46.0,69.125,35.9,4.45
2026-06-22,46.167,69.75,35.9,4.407
2026-06-23,46.5,70.634,35.9,4.407
2026-06-24,46.667,71.305,35.9,4.364
2026-06-25,46.733,71.585,35.9,4.321
2026-06-26,46.733,72.317,36.0,4.3
2026-06-29,46.733,72.988,36.0,4.279
2026-06-30,46.833,73.744,36.0,4.257
2026-07-31,50.967,85.22,42.112,4.21
2026-08-03,51.333,85.707,42.112,4.21
2026-08-04,51.333,85.951,42.112,4.208
2026-08-05,51.333,86.683,42.112,4.208
2026-08-06,51.5,86.683,42.237,4.208
2026-08-07,51.6,86.268,42.45,4.208
2026-08-10,51.767,86.744,42.45,4.208
2026-08-11,52.133,86.866,42.504,4.206
2026-08-12,52.5,87.354,42.61,4.208
2026-08-13,52.7,87.72,42.61,4.219
2026-08-14,52.733,88.207,42.717,4.229
2026-08-17,52.733,88.939,42.895,4.236
2026-08-18,52.733,89.427,42.895,4.236
2026-08-19,53.267,90.098,43.073,4.239
2026-08-20,53.767,90.585,43.138,4.246
2026-08-21,54.1,91.073,43.288,4.262
2026-08-24,54.167,91.317,43.288,4.262
2026-08-25,54.167,90.561,43.377,4.305
2026-08-26,54.0,91.049,43.637,4.362
2026-08-27,53.933,91.049,44.011,4.443
2026-08-28,53.933,91.293,44.189,4.5
2026-08-31,53.917,91.78,44.367,4.567
2026-09-01,54.083,92.024,44.544,4.69
2026-09-02,54.25,92.649,44.571,4.78
2026-09-03,54.0,92.912,44.571,4.86
2026-09-04,54.067,93.5,45.0,4.95
2026-09-07,54.3,93.25,45.357,5.05
2026-09-08,54.333,92.5,45.364,5.13
2026-09-09,54.5,91.0,45.321,5.22
2026-09-10,54.333,90.5,45.279,5.31
2026-09-11,54.333,89.75,45.214,5.4
2026-09-14,54.333,89.25,45.571,5.5
2026-09-15,54.4,89.125,45.536,5.59
2026-09-16,54.833,87.625,45.786,5.68
2026-09-17,55.233,86.0,46.143,5.77
2026-09-18,56.0,85.75,46.036,5.88
2026-09-21,56.933,85.0,46.036,5.88
2026-09-22,57.167,84.5,46.036,5.84
